,Open,High,Close
0,853.1199949999999,856.929993,853.6400150000001
1,847.26001,853.330017,851.150024
2,846.8599849999999,848.9400019999999,847.2700199999999
3,848.9400019999999,850.820007,849.080017
4,856.3099980000001,856.48999,849.849976
5,851.3800050000001,858.0,856.75
6,847.349976,848.830017,844.929993
7,844.9500119999999,850.669983,849.669983
8,847.650024,848.3599849999999,847.8099980000001
9,851.080017,852.6199949999999,851.0
10,848.0,853.7899779999999,851.3599849999999
11,847.98999,852.2000119999999,849.2700199999999
12,841.3099980000001,846.9400019999999,846.5499880000001
13,838.5,842.6900019999999,842.169983
14,838.8099980000001,841.7700199999999,837.320007
15,839.7700199999999,842.0,840.0300289999999
16,837.700012,841.73999,838.9600220000001
17,832.950012,837.150024,834.849976
18,831.72998,831.97998,830.0599980000001
19,830.530029,834.25,829.880005
20,825.5,831.919983,829.22998
21,820.919983,822.3900150000001,821.619995
22,823.130005,826.130005,820.130005
23,815.0,824.5599980000001,818.26001
24,824.0,824.0,815.23999
25,819.5,823.070007,820.1900019999999
26,837.0599980000001,837.22998,823.830017
27,859.0,867.0,845.0300289999999
28,859.0499880000001,861.0,856.9799800000001
29,853.5499880000001,858.7899779999999,858.4500119999999
30,846.9799800000001,851.5200199999999,849.5300289999999
31,831.6099849999999,845.5399779999999,844.429993
32,829.090027,829.23999,828.169983
33,829.0,833.0,824.369995
34,829.799988,829.8099980000001,829.02002
35,830.0,830.179993,827.460022
36,831.0,834.650024,830.9400019999999
37,828.380005,830.380005,829.530029
38,826.619995,829.900024,829.8599849999999
39,827.070007,829.409973,826.01001
40,826.369995,830.429993,827.179993
41,814.98999,828.960022,825.210022
42,807.5,813.73999,813.02002
43,809.8900150000001,813.429993,807.77002
44,800.619995,811.4400019999999,808.01001
45,803.210022,803.289978,792.450012
46,802.330017,805.75,802.880005
47,813.330017,813.330017,804.570007
48,808.679993,816.0,809.929993
49,808.01001,810.969971,807.799988
50,809.099976,811.070007,809.679993
51,815.719971,815.719971,812.200012
52,813.369995,816.48999,815.200012
